Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS
1,24.46678767,122.7741998,0,24.670198,122.84412,24.621583,122.608527,24.418162,122.539222,24.263523,122.70462,24.312003,122.939259,24.515257,123.009451,0
2,24.359778,123.1741682,0,24.563019,123.244974,24.515257,123.009451,24.312003,122.939259,24.156681,123.103706,24.204312,123.338273,24.407396,123.409346,1
3,24.25123617,123.5731052,0,24.454307,123.64479,24.407396,123.409346,24.204312,123.338273,24.048308,123.501767,24.09509,123.736254,24.298004,123.808201,0
4,24.50051083,123.8804973,0,24.703162,123.953146,24.656972,123.716824,24.454307,123.64479,24.298004,123.808201,24.344064,124.043557,24.546556,124.116466,1
5,24.74864283,124.1897298,0,24.950874,124.263352,24.905409,124.02615,24.703162,123.953146,24.546556,124.116466,24.591893,124.352693,24.793963,124.426572,2
6,24.14116533,123.971001,0,24.344064,124.043557,24.298004,123.808201,24.09509,123.736254,23.938408,123.898795,23.984342,124.133193,24.187084,124.206006,2
7,24.38941733,124.2791717,0,24.591893,124.352693,24.546556,124.116466,24.344064,124.043557,24.187084,124.206006,24.232295,124.441266,24.434612,124.515042,0
8,34.32669867,128.9907477,0,34.519215,129.087364,34.485385,128.815868,34.292821,128.720034,34.134368,128.894654,34.16806,129.164847,34.360343,129.261719,0
9,34.55228833,129.3591175,108,34.74442,129.457047,34.711396,129.184507,34.519215,129.087364,34.360343,129.261719,34.39323,129.532944,34.585126,129.631124,1
10,33.97543983,129.068497,0,34.16806,129.164847,34.134368,128.894654,33.941701,128.799079,33.783003,128.972666,33.816559,129.241567,34.008948,129.338169,1
11,32.817263,128.5011495,0,33.010889,128.594447,32.97588,128.328844,32.782211,128.236298,32.623815,128.408347,32.658689,128.672705,32.852094,128.766256,1
