Cell ID,Cell Latitude,Cell Longitude,Cell Altitude,Hex Point 1 Lat,Hex Point 1 Long,Hex Point 2 Lat,Hex Point 2 Long,Hex Point 3 Lat,Hex Point 3 Long,Hex Point 4 Lat,Hex Point 4 Long,Hex Point 5 Lat,Hex Point 5 Long,Hex Point 6 Lat,Hex Point 6 Long,PSS,GW Site
1,40.32661783,-124.4859057,0.0,40.531442,-124.570273,40.374025,-124.763883,40.169503,-124.679148,40.12207,-124.402021,40.278909,-124.208298,40.483758,-124.291811,0,19
2,40.68842467,-124.3758062,0.0,40.893372,-124.460286,40.736083,-124.655126,40.531442,-124.570273,40.483758,-124.291811,40.640461,-124.096862,40.845432,-124.180479,1,19
3,40.0738755,-124.125262,0.0,40.278909,-124.208298,40.12207,-124.402021,39.917335,-124.318614,39.869117,-124.042699,40.025383,-123.848876,40.230439,-123.931064,2,19
4,39.45902733,-123.878977,0.0,39.664169,-123.960605,39.507754,-124.153217,39.302904,-124.071221,39.254156,-123.79781,39.41001,-123.605107,39.615171,-123.685902,3,19
42,38.43563567,-122.4769622,419.0,38.641636,-122.553509,38.487433,-122.746419,38.281709,-122.669492,38.2299,-122.400844,38.383563,-122.207887,38.589573,-122.283622,2,19
43,37.81780517,-122.2498783,36.0,38.023958,-122.32515,37.870106,-122.516923,37.664223,-122.441275,37.611912,-122.175025,37.765236,-121.983212,37.971396,-122.057685,2,19
44,37.19948033,-122.0265603,513.0,37.405805,-122.100587,37.252282,-122.291233,37.04622,-122.216832,36.99341,-121.952942,37.146417,-121.762263,37.352748,-121.835505,2,19
45,36.580601,-121.8069163,101.0,36.787118,-121.879728,36.633901,-122.069255,36.427641,-121.996073,36.374334,-121.734503,36.527045,-121.54495,36.733567,-121.616989,2,19
5,38.843817,-123.6368467,28.0,39.049087,-123.717102,38.893072,-123.90861,38.688086,-123.827989,38.638812,-123.557042,38.794279,-123.365451,38.999566,-123.444886,4,19
6,41.05022767,-124.2645802,0.0,41.255308,-124.34917,41.098142,-124.545254,40.893372,-124.460286,40.845432,-124.180479,41.002004,-123.984287,41.207108,-124.068005,5,19
7,40.43531017,-124.0137247,309.0,40.640461,-124.096862,40.483758,-124.291811,40.278909,-124.208298,40.230439,-123.931064,40.386561,-123.736017,40.591733,-123.818296,6,19
8,39.82014033,-123.7671565,452.0,40.025383,-123.848876,39.869117,-124.042699,39.664169,-123.960605,39.615171,-123.685902,39.77087,-123.49199,39.976132,-123.572867,7,19
9,39.20465383,-123.52477,156.0,39.41001,-123.605107,39.254156,-123.79781,39.049087,-123.717102,38.999566,-123.444886,39.154865,-123.252103,39.360239,-123.331612,8,19
10,38.58878767,-123.2864622,214.0,38.794279,-123.365451,38.638812,-123.557042,38.433601,-123.477684,38.38356,-123.207916,38.538484,-123.016253,38.74399,-123.094427,9,19
11,37.97247967,-123.0521347,0.0,38.178126,-123.129808,38.023022,-123.320294,37.81765,-123.242255,37.767093,-122.974893,37.921664,-122.784343,38.127323,-122.861215,10,19
12,42.64233283,-124.667923,0.0,42.847517,-124.755661,42.689434,-124.95533,42.48458,-124.867202,42.437449,-124.580703,42.594902,-124.380908,42.800115,-124.467734,11,19
13,42.02722117,-124.4077968,0.0,42.232413,-124.493995,42.074861,-124.692498,41.869992,-124.605912,41.822324,-124.322103,41.97926,-124.123485,42.184477,-124.208788,12,19
14,41.41204217,-124.1522113,0.0,41.617265,-124.236909,41.460217,-124.434253,41.255308,-124.34917,41.207108,-124.068005,41.363554,-123.870557,41.568801,-123.954374,13,19
15,40.796727,-123.901052,111.0,41.002004,-123.984287,40.845432,-124.180479,40.640461,-124.096862,40.591733,-123.818296,40.747717,-123.622009,40.953015,-123.704379,14,19
16,40.1812075,-123.6542082,220.0,40.386561,-123.736017,40.230439,-123.931064,40.025383,-123.848876,39.976132,-123.572867,40.131679,-123.377734,40.337051,-123.458691,15,19
17,39.56541783,-123.411573,456.0,39.77087,-123.49199,39.615171,-123.685902,39.41001,-123.605107,39.360239,-123.331612,39.515374,-123.137623,39.720843,-123.217204,16,19
18,38.949294,-123.1730427,550.0,39.154865,-123.252103,38.999566,-123.444886,38.794279,-123.365451,38.74399,-123.094427,38.898739,-122.901576,39.104325,-122.979813,17,19
19,38.3327725,-122.9385172,89.0,38.538484,-123.016253,38.38356,-123.207916,38.178126,-123.129808,38.127323,-122.861215,38.281709,-122.669492,38.487433,-122.746419,18,19
20,37.71579217,-122.7078987,0.0,37.921664,-122.784343,37.767093,-122.974893,37.56149,-122.89808,37.510177,-122.631878,37.664223,-122.441275,37.870106,-122.516923,19,19
21,37.0982925,-122.4810937,0.0,37.304345,-122.556277,37.150103,-122.745723,36.944313,-122.670173,36.892492,-122.406324,37.04622,-122.216832,37.252282,-122.291233,20,19
22,43.00518183,-124.5550775,0.0,43.210554,-124.642942,43.052555,-124.843921,42.847517,-124.755661,42.800115,-124.467734,42.957475,-124.266632,43.162875,-124.353575,1,19
23,42.38954,-124.294594,751.0,42.594902,-124.380908,42.437449,-124.580703,42.232413,-124.493995,42.184477,-124.208788,42.341306,-124.008881,42.546693,-124.094289,1,19
24,41.7738835,-124.038682,510.0,41.97926,-124.123485,41.822324,-124.322103,41.617265,-124.236909,41.568801,-123.954374,41.725126,-123.755654,41.930525,-123.839567,1,19
25,41.1581405,-123.7872265,322.0,41.363554,-123.870557,41.207108,-124.068005,41.002004,-123.984287,40.953015,-123.704379,41.108864,-123.506838,41.314298,-123.589293,1,19
26,40.54224267,-123.5401147,1142.0,40.747717,-123.622009,40.591733,-123.818296,40.386561,-123.736017,40.337051,-123.458691,40.492451,-123.26232,40.697943,-123.343355,1,19
27,39.9261225,-123.2972392,1034.0,40.131679,-123.377734,39.976132,-123.572867,39.77087,-123.49199,39.720843,-123.217204,39.875819,-123.021996,40.081392,-123.101644,1,19
30,38.07577667,-122.5929945,86.0,38.281709,-122.669492,38.127323,-122.861215,37.921664,-122.784343,37.870106,-122.516923,38.023958,-122.32515,38.2299,-122.400844,1,19
46,35.96110833,-121.5908592,0.0,36.167837,-121.662485,36.014905,-121.850903,35.808426,-121.778909,35.754625,-121.519622,35.907062,-121.331185,36.113795,-121.402051,2,19
47,43.73121233,-124.3257875,0.0,43.936994,-124.413897,43.779145,-124.617545,43.573707,-124.529027,43.525746,-124.238206,43.682937,-124.034441,43.888745,-124.121609,0,19
48,43.11441267,-124.0646117,16.0,43.320147,-124.151149,43.162875,-124.353575,42.957475,-124.266632,42.908987,-123.978589,43.065617,-123.776056,43.271375,-123.861669,0,19
51,41.264275,-123.3084247,414.0,41.470018,-123.390483,41.314298,-123.589293,41.108864,-123.506838,41.058823,-123.226843,41.213943,-123.027955,41.419704,-123.109136,0,19
